iter	Passed	Remaining
773	6169	1801
774	6176	1793
775	6182	1784
776	6189	1776
777	6196	1768
778	6203	1759
779	6210	1751
780	6218	1743
781	6224	1735
782	6232	1727
783	6248	1721
784	6259	1714
785	6266	1706
786	6273	1697
787	6280	1689
788	6287	1681
789	6294	1673
790	6301	1665
791	6308	1656
792	6315	1648
793	6322	1640
794	6329	1632
795	6336	1623
796	6343	1615
797	6350	1607
798	6357	1599
799	6364	1591
800	6371	1582
801	6378	1574
802	6385	1566
803	6392	1558
804	6399	1550
805	6406	1541
806	6413	1533
807	6420	1525
808	6427	1517
809	6434	1509
810	6443	1501
811	6451	1493
812	6458	1485
813	6465	1477
814	6472	1469
815	6479	1461
816	6486	1452
817	6493	1444
818	6500	1436
819	6507	1428
820	6514	1420
821	6521	1412
822	6528	1404
823	6535	1395
824	6542	1387
825	6549	1379
826	6557	1371
827	6564	1363
828	6570	1355
829	6577	1347
830	6584	1339
831	6591	1330
832	6598	1322
833	6605	1314
834	6612	1306
835	6619	1298
836	6626	1290
837	6634	1282
838	6642	1274
839	6650	1266
840	6658	1258
841	6665	1250
842	6672	1242
843	6679	1234
844	6686	1226
845	6693	1218
846	6700	1210
847	6707	1202
848	6714	1194
849	6721	1186
850	6728	1178
851	6735	1170
852	6742	1162
853	6749	1153
854	6757	1145
855	6764	1137
856	6771	1129
857	6778	1121
858	6785	1113
859	6791	1105
860	6798	1097
861	6805	1089
862	6812	1081
863	6819	1073
864	6826	1065
865	6833	1057
866	6840	1049
867	6849	1041
868	6857	1033
869	6864	1025
870	6871	1017
871	6878	1009
872	6885	1001
873	6892	993
874	6899	985
875	6906	977
876	6913	969
877	6920	961
878	6927	953
879	6934	945
880	6941	937
881	6948	929
882	6955	921
883	6961	913
884	6968	905
885	6975	897
886	6982	889
887	6989	881
888	6996	873
889	7003	865
890	7010	857
891	7017	849
892	7024	841
893	7031	833
894	7038	825
895	7046	817
896	7055	810
897	7063	802
898	7070	794
899	7078	786
900	7085	778
901	7092	770
902	7099	762
903	7106	754
904	7114	746
905	7121	738
906	7128	730
907	7136	723
908	7143	715
909	7150	707
910	7157	699
911	7164	691
912	7171	683
913	7178	675
914	7185	667
915	7193	659
916	7200	651
917	7206	643
918	7214	635
919	7220	627
920	7227	619
921	7235	612
922	7242	604
923	7250	596
924	7260	588
925	7267	580
926	7274	572
927	7282	564
928	7289	557
929	7296	549
930	7302	541
931	7309	533
932	7316	525
933	7324	517
934	7331	509
935	7338	501
936	7345	493
937	7353	486
938	7360	478
939	7368	470
940	7377	462
941	7385	454
942	7393	446
943	7401	439
944	7410	431
945	7419	423
946	7427	415
947	7434	407
948	7441	399
949	7449	392
950	7456	384
951	7466	376
952	7474	368
953	7481	360
954	7489	352
955	7495	344
956	7502	337
957	7509	329
958	7516	321
959	7524	313
960	7531	305
961	7538	297
962	7545	289
963	7552	282
964	7559	274
965	7566	266
966	7573	258
967	7580	250
968	7587	242
969	7594	234
970	7601	227
971	7609	219
972	7616	211
973	7623	203
974	7630	195
975	7637	187
976	7644	179
977	7651	172
978	7660	164
979	7668	156
980	7675	148
981	7683	140
982	7689	132
983	7696	125
984	7703	117
985	7710	109
986	7717	101
987	7723	93
988	7730	85
989	7738	78
990	7744	70
991	7751	62
992	7758	54
993	7766	46
994	7773	39
995	7779	31
996	7787	23
997	7794	15
998	7801	7
999	7807	0
